,station_id,stime,air_data_value,RH,UGRD,VGRD,HPBL,TMP,goes_measurement
1005,48-273-0314,2019-01-04 19:00:00,2.0,54.2,3.136981,-1.2967978,278.10495,289.94644,0.85699624
1007,48-323-0004,2019-01-04 19:00:00,4.0,19.300001,0.949481,-1.1717978,539.2299,291.38394,0.034611885
1008,48-361-1100,2019-01-04 19:00:00,3.0,65.8,4.261981,-1.2342978,508.29245,285.13394,0.01827516
1009,48-479-0313,2019-01-04 19:00:00,4.0,19.2,0.01198101,-1.9217978,695.4799,292.94644,0.07352719
1016,06-019-0500,2019-01-04 20:00:00,15.0,48.100002,0.45507145,1.2777472,227.28519,286.37274,0.03892724
1019,06-073-1201,2019-01-04 20:00:00,6.0,19.5,3.5800714,-0.40975285,367.5352,292.49774,-0.0288085
1020,06-079-2004,2019-01-04 20:00:00,7.0,57.3,1.8925714,0.34024715,547.66016,287.37274,-0.00969762
1030,31-055-0019,2019-01-04 20:00:00,5.0,53.100002,1.7675714,-1.1597528,252.03519,284.18524,0.064511165
1035,35-001-0023,2019-01-04 20:00:00,4.9,35.100002,0.95507145,-3.2222528,167.84769,278.06024,1.7596772
1036,35-001-0026,2019-01-04 20:00:00,4.5,35.3,0.58007145,-3.3472528,174.03519,278.24774,1.1155325
1038,35-001-1013,2019-01-04 20:00:00,5.1000000000000000,38.100002,-0.16992855,-3.6597528,153.78519,278.06024,1.9760616
1042,40-115-9007,2019-01-04 20:00:00,4.0,49.7,2.7050714,-0.15975285,444.2227,283.62274,-0.04714878
1050,48-043-0101,2019-01-04 20:00:00,10.0,15.8,-1.4824286,1.5902472,720.09766,289.18524,-0.031813838
1053,48-361-1100,2019-01-04 20:00:00,2.0,63.4,4.0800714,-1.8472528,567.34766,286.68524,-0.031813838
1059,06-019-0500,2019-01-04 21:00:00,15.0,47.2,0.7361412,1.1463728,235.47833,287.19373,0.035921898
1061,06-065-0010,2019-01-04 21:00:00,3.0,18.5,-1.6388588,-0.5411272,273.22833,284.69373,-0.008927021
1062,06-073-1201,2019-01-04 21:00:00,5.0,19.4,3.6736412,-0.4161272,483.91583,293.69373,-0.02472432
1063,06-079-2004,2019-01-04 21:00:00,6.0,63.3,3.8611412,-0.103627205,574.29083,287.44373,-0.0060757995
1064,06-079-2007,2019-01-04 21:00:00,3.0,54.2,3.9861412,0.1463728,527.22833,288.00623,0.029140618
1074,31-055-0019,2019-01-04 21:00:00,4.0,56.0,1.5486412,-0.9161272,237.10333,284.19373,0.02798472
1079,35-001-0023,2019-01-04 21:00:00,5.0,33.5,0.8611412,-3.6036272,251.16583,279.50623,0.66334444
1080,35-001-0026,2019-01-04 21:00:00,5.1000000000000000,33.5,0.5486412,-3.5411272,247.97833,279.69373,0.55707866
1081,35-001-0029,2019-01-04 21:00:00,9.5,38.0,1.5486412,0.9588728,280.16583,278.88123,1.0014838
1083,35-001-1013,2019-01-04 21:00:00,5.2,36.3,-0.2013588,-3.6036272,207.66583,279.19373,1.037625
1085,40-115-9007,2019-01-04 21:00:00,3.0,46.0,2.7361412,0.6463728,446.29083,284.19373,-0.05
1093,48-043-0101,2019-01-04 21:00:00,2.0,14.3,-0.8888588,1.0213728,801.66583,290.38123,-0.04761114
1094,48-135-1014,2019-01-04 21:00:00,5.0,19.1,3.9861412,2.8338728,509.79083,290.06873,0.13116807
1095,48-201-1034,2019-01-04 21:00:00,6.0,58.5,2.2986412,-2.0411272,570.16583,288.69373,0.05857754
