GEOID,YYYYMM,deaths
12095,199907,23
12099,199907,36
12101,199907,33
12103,199907,51
12105,199907,28
12109,199907,11
12111,199907,11
12115,199907,20
12117,199907,13
12127,199907,25
13021,199907,10
13067,199907,17
13215,199907,10
15003,199907,15
16001,199907,13
17031,199907,124
17043,199907,15
17097,199907,13
17099,199907,10
17119,199907,10
17197,199907,14
17201,199907,10
18003,199907,12
18089,199907,15
18097,199907,34
19153,199907,18
20091,199907,12
20173,199907,14
20177,199907,11
21111,199907,26
22017,199907,11
22051,199907,11
24003,199907,15
24005,199907,16
24031,199907,15
24033,199907,12
24510,199907,19
25001,199907,16
25005,199907,24
25009,199907,30
25017,199907,49
25021,199907,20
25023,199907,16
25025,199907,17
25027,199907,27
26025,199907,12
26077,199907,13
26081,199907,17
26099,199907,13
26121,199907,10
26125,199907,29
26163,199907,66
27053,199907,30
27123,199907,14
29095,199907,29
29189,199907,36
29510,199907,10
30111,199907,11
31055,199907,20
32003,199907,51
32031,199907,20
34003,199907,17
34007,199907,22
34013,199907,20
34017,199907,22
34023,199907,26
34025,199907,21
34027,199907,12
34029,199907,15
36005,199907,23
36007,199907,15
36029,199907,28
36047,199907,41
36055,199907,21
36059,199907,31
36061,199907,30
36067,199907,22
36075,199907,14
36081,199907,35
36093,199907,10
36103,199907,42
36119,199907,22
37071,199907,13
37119,199907,16
39035,199907,41
39049,199907,37
39061,199907,21
39085,199907,14
39093,199907,13
39095,199907,24
39099,199907,13
39113,199907,27
39151,199907,16
39153,199907,22
39155,199907,11
40109,199907,23
40143,199907,16
41039,199907,14
41047,199907,10
41051,199907,21
42003,199907,49
42017,199907,17
42041,199907,13
42045,199907,22
42049,199907,11
42071,199907,12
42091,199907,22
42095,199907,10
