GEOID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
06061,59153,58577,60543,61522,64642,62777,69982,69667,75029,70751,68330,69581,69521,73643,75689,76203,85326,81366,89175,97688
06063,38225,37431,38558,39514,41309,40982,46527,45516,48770,42684,41421,44923,46450,47645,47964,46813,53646,51756,55079,59376
06065,43558,42640,42929,44598,46885,52029,53269,57736,57590,55151,53981,52491,52416,53909,56877,57895,59951,63776,66793,72905
06067,44796,44526,45231,46351,47215,51713,53689,56823,56882,52502,52655,52236,52617,52980,55803,58735,59728,62959,69475,71891
06069,56191,56156,56279,56371,57595,62215,66941,66273,64646,61281,58194,62618,60577,66780,68166,76521,73298,77200,80063,84209
06071,40950,40672,41583,43294,43179,48761,52686,55995,54768,52137,52270,51017,50603,52112,51951,53526,56194,60270,63310,67398
06073,48363,47944,47867,48766,51939,56224,59279,61724,62820,60103,59759,59290,60235,61365,66034,67053,70693,76048,78777,83576
06075,55761,54779,53087,51402,51815,57476,64648,67333,73127,70247,70883,69354,72093,76933,83788,90527,101873,109601,110601,121795
06077,40633,40018,41042,42789,44814,48828,51691,51874,54350,52201,49742,50376,50431,51219,51527,53341,59038,60950,63567,68458
06079,42498,42026,43456,44310,46225,49313,50202,55942,60088,55638,53620,53877,58427,57743,61775,61761,69517,70634,70626,76599
06081,70492,69984,67440,65110,65425,74286,77717,82913,84879,84678,82413,81378,81568,91061,100806,101133,107075,115908,122930,135234
06083,46908,46279,46432,45818,46706,54721,53382,57741,60645,58555,56243,59494,60683,60803,62116,63049,66360,70651,75646,74530
06085,74705,72869,70216,68223,68842,76686,80775,84265,88525,84990,84627,84741,91195,91843,97219,102191,110843,118468,125933,132444
06087,53787,52984,51774,50977,52031,57506,60863,62849,66495,60816,60247,61228,65799,65282,64257,64841,75929,76633,84213,85770
06089,34991,34235,35374,36478,37696,41254,42813,41980,42362,42552,41058,41796,44477,41236,43661,45943,46663,51207,53908,61464
06091,37770,36679,36588,36545,37599,39380,43405,44950,44282,41788,42800,45060,45157,46449,47293,47535,48099,49495,52308,55862
06093,30589,29720,30285,31165,32531,35039,34329,35692,36823,39218,36001,35175,36597,37108,38641,37447,40875,44013,47560,45954
06095,53954,53832,55349,56595,57728,61784,61529,66575,70173,65079,62948,63090,61976,63398,67106,67202,73200,75931,82808,85704
06097,53193,52873,53230,52088,53645,58110,60656,62279,62314,61985,58703,60792,59855,61020,66949,66463,73496,79511,81002,87084
06099,40054,39300,40000,41619,43072,46769,48252,50367,50094,48550,47442,44287,46324,47808,50917,51949,54060,58925,59616,62761
06101,38698,38013,38585,39718,41289,44914,47174,49104,49146,48073,46188,48749,46524,47903,51827,50810,51283,54102,57879,60910
06103,31575,30609,31307,32905,34520,33903,35639,36884,38160,38179,38188,37297,38577,43459,40782,40292,40585,41819,47572,51672
06105,28752,27464,28170,29063,30307,31434,33070,35439,34726,33546,35207,33163,35162,35708,34961,37669,38727,40676,40680,43881
06107,32253,31587,32033,33190,34809,38179,41117,40444,44383,39876,42377,40599,40197,39657,42360,42637,45768,46377,48763,56776
06109,38770,37745,38770,39620,41067,42381,44991,45478,49151,48027,44751,43530,46624,50774,49476,53136,50431,58776,56500,64729
06111,57164,56525,57052,57885,59379,66531,71807,72762,76190,71246,71418,74019,71043,76513,74967,79285,79470,82436,84170,91446
06113,42670,41851,42412,43612,44810,49378,50027,55988,57877,56120,54433,50174,51040,55011,54509,58766,63645,64900,67804,70951
06115,30954,29927,30860,32802,34493,35786,37558,40602,46715,40947,41045,43299,41599,41824,41403,46500,46054,53822,47504,56607
08001,48307,46996,46876,48633,50229,50798,50930,52544,56601,53779,52785,52429,55695,54876,59316,62991,65442,65977,70199,75341
08003,30538,29987,30427,30994,31587,32642,33726,35988,34681,35960,36339,36870,37731,37484,38140,40067,37057,43121,42897,38213
